1	1.427	0.025	0.022	0.022	0.016	0.014	0.014
2	2.775	0.031	0.028	0.031	0.024	0.02	0.02
3	4.046	0.035	0.031	0.035	0.03	0.025	0.025
4	5.247	0.04	0.039	0.042	0.037	0.031	0.029
5	6.38	0.044	0.044	0.045	0.04	0.033	0.029
6	7.449	0.049	0.046	0.05	0.043	0.039	0.034
7	8.459	0.053	0.053	0.054	0.048	0.043	0.037
8	9.411	0.057	0.056	0.059	0.053	0.047	0.041
9	10.31	0.061	0.061	0.062	0.056	0.05	0.045
10	11.159	0.065	0.065	0.066	0.061	0.055	0.048
11	11.96	0.07	0.069	0.068	0.065	0.057	0.05
12	12.717	0.075	0.073	0.073	0.067	0.063	0.052
13	13.43	0.08	0.079	0.078	0.071	0.066	0.056
14	14.104	0.084	0.084	0.081	0.075	0.069	0.058
15	14.74	0.088	0.086	0.086	0.075	0.07	0.062
16	15.34	0.092	0.088	0.087	0.076	0.073	0.063
17	15.906	0.094	0.092	0.089	0.082	0.075	0.065
18	16.441	0.096	0.095	0.094	0.085	0.077	0.067
19	16.946	0.099	0.099	0.096	0.089	0.081	0.068
20	17.422	0.103	0.1     0.1     0.093	0.085	0.073
